"teamName","inGameName","checkedInAt","userID","teamID","Nome e # no discord"
"Miudol","Sparkyyzz","Sat Sep 12 2020 12:30:59 GMT+0000 (UTC)","5bd21fbccb3bb003ce641817","5f5c07a1ab8e7e6194e8e577","Zëss#5770"
"KIL","Guestッ","Sat Sep 12 2020 12:31:15 GMT+0000 (UTC)","5bf0432eebaf1603bdd55003","5f53c4672736604a1961a6d4","Dama#1138"
"Tea Time Monkeys","Matsufofinha","Sat Sep 12 2020 12:29:00 GMT+0000 (UTC)","5bf985f319f8b403b342994e","5f585b199ba2df6416d87346","Matsuhashi#8098"
"Infinity","Fuyuki90Firee","Sat Sep 12 2020 12:27:05 GMT+0000 (UTC)","5c25ac80a6ba3403b50e2e0b","5f5aafe7513be46175c9a35f","magnus#1244"
,"P4ulovski",,"5c2c3cd9c1b12703d6904a34",,"P4ulovski#0766"
"*Skull And Bones*","Kl3t1n","Sat Sep 12 2020 12:26:41 GMT+0000 (UTC)","5c63075b74bd9c0319d57998","5f53a8ff20ac296025cefa90","jaimejr2#6967"
"PCListas","BOTjaun","Sat Sep 12 2020 12:34:25 GMT+0000 (UTC)","5c77fb23bb3d00033ec04294","5f5909633fb598326a1eeec6","Tecky#8852"
"PCListas","Lugli10-","Sat Sep 12 2020 12:34:25 GMT+0000 (UTC)","5c783c6bf2517a0316a6a2da","5f5909633fb598326a1eeec6","Tecky#8852"
"Miudol","Zëss","Sat Sep 12 2020 12:30:59 GMT+0000 (UTC)","5c79233310a5e903192753ff","5f5c07a1ab8e7e6194e8e577","Zëss#5770"
"Guerreiros do Abismo","KhayronPlay","Sat Sep 12 2020 12:39:10 GMT+0000 (UTC)","5c7e915e08225c0320019361","5f580e468e9a3d52986162f6","Lucky#4931"
"Gênesis","Ghotera","Sat Sep 12 2020 12:29:44 GMT+0000 (UTC)","5c894075db07e70329e6cb09","5f53cc9e20ac296025cefeed","Ghotera #9306"
"POG CHAMP","snakebleck","Sat Sep 12 2020 12:28:30 GMT+0000 (UTC)","5c8aeb324521720329b48f73","5f5be71f9e496364994cfc1c","Snöwy #5600"
"Gremorys","TheOneGremory","Sat Sep 12 2020 12:28:30 GMT+0000 (UTC)","5c9c31c3ccbc81032ccf155e","5f5ab8299c6df363ad9f6ad8","Mr.Ghost #3283"
"Eletric Shark","Thicken-","Sat Sep 12 2020 12:28:58 GMT+0000 (UTC)","5ce75522b318ba031eae77ee","5f5548c09ba2df6416d83528","Guerra#4882"
"Golden Lions","pedrao05","Sat Sep 12 2020 12:26:53 GMT+0000 (UTC)","5ceab8aa5e5f2603471512f0","5f590c20629c8b6045fb5cc0","Jioorun#5178"
"Fine Thin Gaming","explører","Sat Sep 12 2020 12:30:18 GMT+0000 (UTC)","5cf2a5089b45e503510b3e3c","5f566b4b95561b78729a9470","Jordan - PUPA#7368 discord"
"Panda Gaming","FristtSz","Sat Sep 12 2020 12:30:26 GMT+0000 (UTC)","5cfc7967bdf75b71b24eeaa7","5f5c3934f16a31618bea0f96","Breendo0#5431"
"MERCENÁRIOS 2.0","GOLDENTR3E","Sat Sep 12 2020 12:53:27 GMT+0000 (UTC)","5d00061b64fca608e58eacf4","5f5bce8ac170a364bd6252c3","HELLBOY#5778"
"MERCENÁRIOS 2.0","dragãopauer","Sat Sep 12 2020 12:53:27 GMT+0000 (UTC)","5d05218926959d7531f15bc7","5f5bce8ac170a364bd6252c3","HELLBOY#5778"
"Los Papa Penta","ScherBï","Sat Sep 12 2020 12:53:31 GMT+0000 (UTC)","5d1ac178889f89208d6f6067","5f5c315a9c6df363ad9f8983","Bibies#4506"
"Radrak","AsTrOmErO","Sat Sep 12 2020 12:34:21 GMT+0000 (UTC)","5d1d3b8f5f92545db660d059","5f5813f1c3eccd791d05b184","AsTrOmErO#1912"
"TodosPorUm","Linxxy","Sat Sep 12 2020 12:53:19 GMT+0000 (UTC)","5d20cfb66bbd3c414220b61d","5f5acbca9e496364994ce422","BRUNAO#3554"
"KIL","BünnyGirl","Sat Sep 12 2020 12:31:15 GMT+0000 (UTC)","5d44b94e88d8d8680e844d72","5f53c4672736604a1961a6d4","Dama#1138"
"Tigers in Sweatersツ","AslanJoy","Sat Sep 12 2020 12:26:34 GMT+0000 (UTC)","5d582579e418bf4bdea859b2","5f53d9cdac8493575c244840","AslanJoy#7943"
"ANBU","Lòki","Sat Sep 12 2020 12:32:46 GMT+0000 (UTC)","5d667f3d090c2832974100cf","5f5ba6b9f16a31618be9fccf","PX#8726"
"Miudol","Hadëz","Sat Sep 12 2020 12:30:59 GMT+0000 (UTC)","5d6adc0bec1e1b3c5e533f72","5f5c07a1ab8e7e6194e8e577","Zëss#5770"
"Fine Thin Gaming","Pupa","Sat Sep 12 2020 12:30:18 GMT+0000 (UTC)","5d6c705ed1e56b143291923a","5f566b4b95561b78729a9470","Jordan - PUPA#7368 discord"
"Uranium Gaming","MillyWinky","Sat Sep 12 2020 12:38:12 GMT+0000 (UTC)","5d6ec4edea20e535542bd527","5f5a363aac8493575c24d5db","GordoEzPvP#3298"
"Infinity","thaynaa","Sat Sep 12 2020 12:27:05 GMT+0000 (UTC)","5d72cddf434ea11c8b78e9bd","5f5aafe7513be46175c9a35f","magnus#1244"
"Uranium Gaming","GordoEzPvP","Sat Sep 12 2020 12:38:12 GMT+0000 (UTC)","5d76be2f7bf4613c6c68fcaf","5f5a363aac8493575c24d5db","GordoEzPvP#3298"
"New Uranium","SHAKABACK","Sat Sep 12 2020 12:29:58 GMT+0000 (UTC)","5d77073f8a4b3a384de02660","5f5b75f9c170a364bd624aa9","SHAKABACK#9226"
"New Uranium","UnforgivenRJ","Sat Sep 12 2020 12:29:58 GMT+0000 (UTC)","5d770968d8612e383fdb0824","5f5b75f9c170a364bd624aa9","SHAKABACK#9226"
"Eletric Shark","KarmaMito","Sat Sep 12 2020 12:28:58 GMT+0000 (UTC)","5d772b1b3c3f18384977f225","5f5548c09ba2df6416d83528","Guerra#4882"
"Pilantras","FelipeMouraPsy","Sat Sep 12 2020 12:27:32 GMT+0000 (UTC)","5d7ad9c4207efc73c5991f26","5f5a8af576b8305ffaa4d2b2","Gnomo Drogado#0414"
"DetonaVírus","pimbatop13","Sat Sep 12 2020 12:26:48 GMT+0000 (UTC)","5d7bfbb334003e017c1a1ad1","5f5645b4ac8493575c2492d3","Bendito#0253"
"Golden Lions","Káeh","Sat Sep 12 2020 12:26:53 GMT+0000 (UTC)","5da4e41ae941293e2f178962","5f590c20629c8b6045fb5cc0","Jioorun#5178"
